id,home_team,away_team,league,country,start_timestamp,start_time,status,venue,round,source
12436552,Nottingham Forest,Brentford,Premier League,England,1746130500,22:15,Not started,,34,api
12436562,Manchester City,Wolverhampton,Premier League,England,1746204300,18:45,Not started,,35,api
12436553,Aston Villa,Fulham,Premier League,England,1746267300,12:15,Not started,,35,api
12501523,Torino,Venezia,Serie A,Italy,1746207900,19:45,Not started,,35,api
12437542,Rayo Vallecano,Getafe,LaLiga,Spain,1746207000,19:30,Not started,,34,api
12499513,1. FC Heidenheim,VfL Bochum 1848,Bundesliga,Germany,1746202500,18:15,Not started,,32,api
12450232,Nice,Stade de Reims,Ligue 1,France,1746204300,18:45,Not started,,32,api
13514555,Athletic Club,Manchester United,"UEFA Europa League, Knockout Phase",Europe,1746131400,22:30,Not started,,28,api
13514554,Tottenham Hotspur,Bodø/Glimt,"UEFA Europa League, Knockout Phase",Europe,1746118800,19:00,Not started,,28,api
13514787,Djurgårdens IF,Chelsea,"UEFA Conference League, Knockout Phase",Europe,1746124200,20:30,Not started,,28,api
13514775,Real Betis,Fiorentina,"UEFA Conference League, Knockout Phase",Europe,1746133200,23:00,Not started,,28,api
12513656,FC Porto,Moreirense,Liga Portugal Betclic,Portugal,1746206100,19:15,Not started,,32,api
13473401,São Paulo,Fortaleza,Brasileirão Betano,Brazil,1746227700,01:15,Not started,,7,api
12530663,Antalyaspor,Konyaspor,Super Lig,Turkey,1746198900,17:15,Not started,,34,api
13631377,Royal Antwerp FC,RSC Anderlecht,"First Division A, Championship Round",Belgium,1746090900,11:15,Not started,,7,api
13631378,Club Brugge KV,KAA Gent,"First Division A, Championship Round",Belgium,1746114300,17:45,Not started,,7,api
13631396,KVC Westerlo,FCV Dender,"First Division, Conference League Playoffs",Belgium,1746220500,23:15,Not started,,7,api
12403325,NK Varaždin,HNK Šibenik,HNL,Croatia,1746201600,18:00,Not started,,33,api
13732213,OFK Beograd,FK Vojvodina,"Super Liga, Championship Round",Serbia,1746198000,17:00,Not started,,4,api
12465202,Bristol City,Preston North End,Championship,England,1746269100,12:45,Not started,,46,api
12465206,Burnley,Millwall,Championship,England,1746276300,14:45,Not started,,46,api
12465213,Coventry City,Middlesbrough,Championship,England,1746267300,12:15,Not started,,46,api
12465209,Derby County,Stoke City,Championship,England,1746279000,15:30,Not started,,46,api
12465203,Norwich City,Cardiff City,Championship,England,1746264600,11:30,Not started,,46,api
12465216,Plymouth Argyle,Leeds United,Championship,England,1746279900,15:45,Not started,,46,api
12465204,Portsmouth,Hull City,Championship,England,1746265500,11:45,Not started,,46,api
12465212,Sheffield United,Blackburn Rovers,Championship,England,1746277200,15:00,Not started,,46,api
12465237,Sunderland,Queens Park Rangers,Championship,England,1746273600,14:00,Not started,,46,api
12465236,Swansea City,Oxford United,Championship,England,1746277200,15:00,Not started,,46,api
12465238,Watford,Sheffield Wednesday,Championship,England,1746277200,15:00,Not started,,46,api
12465229,West Bromwich Albion,Luton Town,Championship,England,1746274500,14:15,Not started,,46,api
12465957,Córdoba,Cádiz,LaLiga 2,Spain,1746215100,21:45,Not started,,38,api
12499165,1. FC Magdeburg,Preußen Münster,2. Bundesliga,Germany,1746198000,17:00,Not started,,32,api
12499208,FC Schalke 04,SC Paderborn 07,2. Bundesliga,Germany,1746206100,19:15,Not started,,32,api
12499207,Darmstadt 98,Hamburger SV,2. Bundesliga,Germany,1746270000,13:00,Not started,,32,api
12499150,Eintracht Braunschweig,Fortuna Düsseldorf,2. Bundesliga,Germany,1746271800,13:30,Not started,,32,api
12499168,SSV Ulm 1846,Hannover 96,2. Bundesliga,Germany,1746278100,15:15,Not started,,32,api
13525896,Ferroviária,Coritiba,Brasileirão Série B,Brazil,1746236100,03:35,Not started,,6,api
12527828,Juve Stabia,Catanzaro,Serie B,Italy,1746092700,11:45,Not started,,36,api
12527826,Cosenza,Bari,Serie B,Italy,1746110700,16:45,Not started,,36,api
12527830,Mantova,Cesena,Serie B,Italy,1746098100,13:15,Not started,,36,api
12527832,Modena,Reggiana,Serie B,Italy,1746103500,14:45,Not started,,36,api
12527834,Palermo,Südtirol,Serie B,Italy,1746106200,15:30,Not started,,36,api
12527836,Pisa,Frosinone,Serie B,Italy,1746108900,16:15,Not started,,36,api
12527838,Sampdoria,Cremonese,Serie B,Italy,1746101700,14:15,Not started,,36,api
12527842,Spezia,Salernitana,Serie B,Italy,1746099900,13:45,Not started,,36,api
12527824,Cittadella,Brescia,Serie B,Italy,1746103500,14:45,Not started,,36,api
12527840,Sassuolo,Carrarese,Serie B,Italy,1746121500,19:45,Not started,,36,api
12450698,Ajaccio,Lorient,Ligue 2,France,1746202500,18:15,Not started,,33,api
12450699,Amiens SC,Pau FC,Ligue 2,France,1746217800,22:30,Not started,,33,api
12450691,Caen,Red Star FC,Ligue 2,France,1746205200,19:00,Not started,,33,api
12450678,Clermont Foot,Annecy FC,Ligue 2,France,1746206100,19:15,Not started,,33,api
12450697,FC Martigues,Paris FC,Ligue 2,France,1746208800,20:00,Not started,,33,api
12615580,Grenoble Foot 38,Troyes,Ligue 2,France,1746200700,17:45,Not started,,33,api
12450696,Guingamp,Bastia,Ligue 2,France,1746207000,19:30,Not started,,33,api
12450688,Metz,Rodez AF,Ligue 2,France,1746209700,20:15,Not started,,33,api
12450686,USL Dunkerque,Stade Lavallois,Ligue 2,France,1746206100,19:15,Not started,,33,api
12441825,ADO Den Haag,SC Cambuur,Eerste Divisie,Netherlands,1746215100,21:45,Not started,,37,api
12441833,De Graafschap,SC Telstar,Eerste Divisie,Netherlands,1746200700,17:45,Not started,,37,api
12441815,Excelsior,Jong PSV Eindhoven,Eerste Divisie,Netherlands,1746207000,19:30,Not started,,37,api
12441810,FC Den Bosch,Helmond Sport,Eerste Divisie,Netherlands,1746216000,22:00,Not started,,37,api
12441834,FC Eindhoven,Jong AZ Alkmaar,Eerste Divisie,Netherlands,1746205200,19:00,Not started,,37,api
12441832,FC Emmen,VVV-Venlo,Eerste Divisie,Netherlands,1746211500,20:45,Not started,,37,api
12441817,FC Volendam,Roda JC Kerkrade,Eerste Divisie,Netherlands,1746209700,20:15,Not started,,37,api
12441813,Jong FC Utrecht Youth,FC Dordrecht,Eerste Divisie,Netherlands,1746208800,20:00,Not started,,37,api
12441819,MVV Maastricht,Jong Ajax,Eerste Divisie,Netherlands,1746199800,17:30,Not started,,37,api
12441827,TOP Oss,Vitesse,Eerste Divisie,Netherlands,1746202500,18:15,Not started,,37,api
12637051,Wellington Phoenix,Perth Glory,A-League,Australia,1746164700,07:45,Not started,,29,api
12637049,Central Coast Mariners,Brisbane Roar,A-League,Australia,1746186600,13:50,Not started,,29,api
12637052,Melbourne City,Sydney FC,A-League,Australia,1746254700,08:45,Not started,,29,api
12965103,Western United,Auckland FC,A-League,Australia,1746259200,10:00,Not started,,29,api
12637053,Macarthur FC,Western Sydney Wanderers,A-League,Australia,1746273900,14:05,Not started,,29,api
13629490,Grazer AK 1902,Austria Klagenfurt,"Bundesliga, Relegation Round",Austria,1746208800,20:00,Not started,,29,api
13400421,Shenzhen Peng City,Tianjin Jinmen Tiger,Chinese Super League,China,1746089100,10:45,Not started,,10,api
13400424,Henan FC Jiuzu Dukang,Wuhan Three Towns,Chinese Super League,China,1746097200,13:00,Not started,,10,api
13400422,Zhejiang,Changchun Yatai,Chinese Super League,China,1746088200,10:30,Not started,,10,api
13400423,Shandong Taishan,Qingdao Hainiu,Chinese Super League,China,1746102900,14:35,Not started,,10,api
13400425,Shanghai Port,Beijing Guoan,Chinese Super League,China,1746101100,14:05,Not started,,10,api
13400426,Qingdao West Coast,Meizhou Hakka,Chinese Super League,China,1746190800,15:00,Not started,,10,api
13400427,Chengdu Rongcheng,Shanghai Shenhua,Chinese Super League,China,1746178500,11:35,Not started,,10,api
13443553,Deportes Limache,Colo Colo,Liga de Primera,Chile,1746219600,23:00,Not started,,10,api
13443557,Unión Española,Cobresal,Liga de Primera,Chile,1746241200,05:00,Not started,,10,api
13808642,Envigado FC,Once Caldas,"Primera A, Apertura",Colombia,1746120600,19:30,Not started,,11,api
13358754,Deportivo La Equidad,Alianza Valledupar FC,"Primera A, Apertura",Colombia,1746236700,03:45,Not started,,17,api
13790945,Dukla Praha,FK Pardubice,"1. Liga, Relegation",Czech Republic,1746277200,15:00,Not started,,2,api
13790916,FC Hradec Králové,MFK Karviná,"1. Liga, Europa Playoffs",Czech Republic,1746275400,14:30,Not started,,1,api
13638580,Randers FC,FC Nordsjælland,"Superligaen, Championship round",Denmark,1746208800,20:00,Not started,,29,api
13737746,San Antonio Bulo-Bulo,Independiente Petrolero,División Profesional,Bolivia,1746207000,19:30,Not started,,6,api
13378643,Deportivo Cuenca,Manta FC,"LigaPro Serie A, Primera Etapa",Ecuador,1746225000,00:30,Not started,,11,api
13573877,Ceramica Cleopatra,National Bank of Egypt,"Premier League, Championship Round",Egypt,1746109800,16:30,Not started,,20,api
13573879,Al-Masry,Zamalek SC,"Premier League, Championship Round",Egypt,1746122400,20:00,Not started,,20,api
13573906,Smouha,Ismaily,"Premier League, Relegation Round",Egypt,1746186300,13:45,Not started,,21,api
13575597,ZED FC,Tala'ea El-Gaish,"Premier League, Relegation Round",Egypt,1746205200,19:00,Not started,,21,api
13250754,Bohemian FC,Waterford FC,Premier Division,Ireland,1746202500,18:15,Not started,,13,api
13250755,Cork City,Shamrock Rovers,Premier Division,Ireland,1746213300,21:15,Not started,,13,api
13250757,Derry City,Shelbourne,Premier Division,Ireland,1746219600,23:00,Not started,,13,api
13250758,Sligo Rovers,Drogheda United,Premier Division,Ireland,1746203400,18:30,Not started,,13,api
13250759,St. Patrick's Athletic,Galway United,Premier Division,Ireland,1746212400,21:00,Not started,,13,api
13383662,Sanfrecce Hiroshima,Avispa Fukuoka,J.League,Japan,1746239400,04:30,Not started,,14,api
13383668,Albirex Niigata,FC Tokyo,J.League,Japan,1746252900,08:15,Not started,,14,api
13383669,Shimizu S-Pulse,Nagoya Grampus,J.League,Japan,1746243900,05:45,Not started,,14,api
13383676,Gamba Osaka,Shonan Bellmare,J.League,Japan,1746260100,10:15,Not started,,14,api
13383673,Kashima Antlers,Machida Zelvia,J.League,Japan,1746256500,09:15,Not started,,14,api
13383670,Urawa Red Diamonds,Tokyo Verdy,J.League,Japan,1746257400,09:30,Not started,,14,api
13383678,Vissel Kobe,Fagiano Okayama,J.League,Japan,1746248400,07:00,Not started,,14,api
13383671,Kyoto Sanga FC,Cerezo Osaka,J.League,Japan,1746274500,14:15,Not started,,14,api
13292877,Fredrikstad FK,Bodø/Glimt,Eliteserien,Norway,1746107100,15:45,Postponed,,5,api
13295666,Rosenborg BK,Kristiansund BK,Eliteserien,Norway,1746112500,17:15,Not started,,17,api
13292878,HamKam,KFUM Oslo,Eliteserien,Norway,1746206100,19:15,Not started,,5,api
13741842,Melgar,Comerciantes Unidos,"Liga 1, Apertura",Peru,1746148500,03:15,Not started,,11,api
13741841,Sport Huancayo,Club Atlético Grau,"Liga 1, Apertura",Peru,1746222300,23:45,Not started,,11,api
13741845,Alianza Lima,Cienciano,"Liga 1, Apertura",Peru,1746227700,01:15,Not started,,11,api
12624401,Al-Okhdood,Al-Wehda,Saudi Pro League,Saudi Arabia,1746121500,19:45,Not started,,30,api
12624409,Al-Riyadh,Al-Orobah,Saudi Pro League,Saudi Arabia,1746109800,16:30,Not started,,30,api
12624408,Al-Fateh,Al-Shabab,Saudi Pro League,Saudi Arabia,1746114300,17:45,Not started,,30,api
12624407,Al-Ettifaq,Al-Khaleej,Saudi Pro League,Saudi Arabia,1746199200,17:20,Not started,,30,api
12624414,Al-Fayha,Damac FC,Saudi Pro League,Saudi Arabia,1746202800,18:20,Not started,,30,api
12624404,Al-Qadsiah,Al-Kholood,Saudi Pro League,Saudi Arabia,1746215100,21:45,Not started,,30,api
13587662,Universitatea Craiova,FC Rapid București,"Super Liga, Championship round",Romania,1746205200,19:00,Not started,,7,api
13592376,ACSM Politehnica Iași,Sepsi OSK,"Super Liga, Relegation round",Romania,1746197100,16:45,Not started,,7,api
12659609,AmaZulu FC,Polokwane City,Premiership,South Africa,1746213300,21:15,Not started,,28,api
12659612,Royal AM,Marumo Gallants FC,Premiership,South Africa,1746199800,17:30,Not started,,28,api
13749683,Cruz Azul,Tigres UANL,CONCACAF Champions Cup,North & Central America,1746149400,03:30,Not started,,28,api
13493600,York United FC,Cavalry FC,Canadian Premier League,Canada,1746238500,04:15,Not started,,4,api
13826728,Central Coast Mariners,Melbourne City,"A-League, Women, Playoffs",Australia,1746241200,05:00,Not started,,28,api
13278607,Louisville City FC,Lexington SC,USL Championship,USA,1746153000,04:30,Not started,,1,api
13278936,Richmond Kickers,Greenville Triumph SC,"USL, League One",USA,1746234900,03:15,Not started,,,api
12448097,Akron Togliatti,Dinamo Makhachkala,Premier League,Russia,1746198000,17:00,Not started,,27,api
13490802,Houston Dash,Racing Louisville,NWSL,USA,1746229500,01:45,Not started,,7,api
13490804,Washington Spirit,Angel City FC,NWSL,USA,1746234900,03:15,Not started,,7,api
13490805,Seattle Reign FC,Kansas City Current,NWSL,USA,1746231300,02:15,Not started,,7,api
13335306,Pohang Steelers,Gimcheon Sangmu FC,K-League 1,South Korea,1746187200,14:00,Not started,,11,api
13335305,Ulsan HD,Gwangju FC,K-League 1,South Korea,1746186300,13:45,Not started,,11,api
13335308,Daegu FC,Jeju SK,K-League 1,South Korea,1746249300,07:15,Not started,,11,api
13335307,Daejeon Hana Citizen,FC Anyang,K-League 1,South Korea,1746249300,07:15,Not started,,11,api
13335309,FC Seoul,Jeonbuk Hyundai Motors,K-League 1,South Korea,1746262800,11:00,Not started,,11,api
13335310,Gangwon FC,Suwon FC,K-League 1,South Korea,1746261000,10:30,Not started,,11,api
13692763,Al-Sharjah,Baniyas,Pro League,United Arab Emirates,1746116100,18:15,Not started,,20,api
13482622,Inter,Fiorentina,"Serie A, Women, Championship Round",Italy,1746277200,15:00,Not started,,9,api
12583760,SGS Essen,SC Freiburg,Frauen-Bundesliga,Germany,1746211500,20:45,Not started,,21,api
12583758,Bayer Leverkusen,RB Leipzig,Frauen-Bundesliga,Germany,1746274500,14:15,Not started,,21,api
13806656,FC Levante Badalona,Barcelona,Liga F,Spain,1746095400,12:30,Not started,,27,api
12716846,Valencia,SD Eibar,Liga F,Spain,1746265500,11:45,Not started,,28,api
12716847,Costa Adeje Tenerife,Real Betis,Liga F,Spain,1746277200,15:00,Not started,,28,api
12448192,Újpest,ETO FC Győr,NB I,Hungary,1746272700,13:45,Not started,,30,api
13811248,ES Sétif,CS Constantine,Ligue 1,Algeria,1746199800,17:30,Postponed,,21,api
13708596,Wolfsberger AC,TSV Hartberg,OFB Cup,Austria,1746113400,17:30,Not started,,29,api
12484550,FC Liefering,ASK Voitsberg,2. Liga,Austria,1746210600,20:30,Not started,,27,api
12484548,SKU Amstetten,SC Austria Lustenau,2. Liga,Austria,1746208800,20:00,Not started,,27,api
12484547,SV Horn,SV Lafnitz,2. Liga,Austria,1746204300,18:45,Not started,,27,api
12484552,SV Stripfing,Floridsdorfer AC,2. Liga,Austria,1746203400,18:30,Not started,,27,api
12484549,Schwarz-Weiß Bregenz,Rapid Wien II,2. Liga,Austria,1746198000,17:00,Not started,,27,api
12484546,SV Ried,Admira Wacker,2. Liga,Austria,1746214200,21:30,Not started,,27,api
12441203,ASV Siegendorf,SC Neusiedl 1919,Regionalliga Ost,Austria Amateur,1746206100,19:15,Not started,,25,api
12441202,FC Mauerwerk,FC Marchfeld Donauauen,Regionalliga Ost,Austria Amateur,1746208800,20:00,Not started,,25,api
12441206,SV Gloggnitz,Favoritner AC,Regionalliga Ost,Austria Amateur,1746207900,19:45,Not started,,25,api
12441200,FCM Traiskirchen,SR Donaufeld,Regionalliga Ost,Austria Amateur,1746207900,19:45,Not started,,25,api
12441201,TWL Elektra,SV Oberwart,Regionalliga Ost,Austria Amateur,1746207000,19:30,Not started,,25,api
12797971,Zirə FK,Turan Tovuz,Premier League,Azerbaijan,1746200700,17:45,Not started,,33,api
13810788,Al-Muharraq,Sitra Club,Premier League,Bahrain,1746110700,16:45,Not started,,17,api
13810790,Bahrain SC,A'Ali FC,Premier League,Bahrain,1746120600,19:30,Not started,,17,api
13810782,Malkiya Club,Al Najma Manama,Premier League,Bahrain,1746122400,20:00,Not started,,17,api
